Gold (OG|GC) G2RQ6 (0.08 DTE) vs 4391.4 (-42.9) - Open Interest
Put: 3,176  Call: 3,359  Vol: 23.52  Vol Chg: -6.47  Future Chg: -42.9
Strike,Call,Put,Vol Settle
4350,64,83,0.3321919120498933
4355,1,22,0.3273991509759071
4360,1,48,0.3228618879511487
4365,1,10,0.31858387734610005
4370,2,35,0.314568454385153
4375,13,29,0.31081853521754965
4380,5,27,0.30733661685007974
4385,4,11,0.3041247772052884
4390,0,58,0.30118467507236346
4395,0,9,0.29851755012168724
4400,339,241,0.2961242229321215
4405,13,8,0.2940050949691795
4410,0,42,0.2921601485595602
4415,5,26,0.2905889469493559
4420,9,59,0.2892906342549395
4425,51,51,0.28826393548297347
4430,4,59,0.2875071565340477
4435,24,23,0.2870181841753947
